image_id,visit,detector,band
449,2025071100706,45,y
450,2025071100706,46,y
451,2025071100706,47,y
452,2025071100706,48,y
453,2025071100706,49,y
454,2025071100706,50,y
455,2025071100706,51,y
456,2025071100706,52,y
457,2025071100706,53,y
458,2025071100706,54,y
459,2025071100706,55,y
460,2025071100706,56,y
461,2025071100706,57,y
462,2025071100706,58,y
463,2025071100706,59,y
464,2025071100706,60,y
465,2025071100706,61,y
466,2025071100706,62,y
467,2025071100706,63,y
468,2025071100706,64,y
469,2025071100706,66,y
470,2025071100706,67,y
471,2025071100706,68,y
472,2025071100706,69,y
473,2025071100706,70,y
474,2025071100706,90,y
475,2025071100706,91,y
476,2025071100706,92,y
477,2025071100706,95,y
478,2025071100706,99,y
479,2025071100706,100,y
480,2025071100706,101,y
481,2025071100706,102,y
482,2025071100706,103,y
483,2025071100706,104,y
484,2025071100706,105,y
485,2025071100706,106,y
486,2025071100706,108,y
487,2025071100742,159,y
488,2025071100742,160,y
489,2025071100742,182,y
490,2025071100742,184,y
491,2025071100742,185,y
492,2025071100742,186,y
493,2025071100742,187,y
494,2025071700525,40,r
495,2025071700525,41,r
496,2025071700525,43,r
497,2025071700525,44,r
498,2025071700525,48,r
499,2025071700525,51,r
500,2025071700525,52,r
501,2025071700525,53,r
502,2025071700525,60,r
503,2025071700525,61,r
504,2025071700525,82,r
505,2025071700525,83,r
506,2025071700525,84,r
507,2025071700525,85,r
508,2025071700525,86,r
509,2025071700525,87,r
510,2025071700525,88,r
511,2025071700525,89,r
512,2025071700525,90,r
513,2025071700525,91,r
514,2025071700525,92,r
515,2025071700525,93,r
516,2025071700525,94,r
517,2025071700525,95,r
518,2025071700525,96,r
519,2025071700525,97,r
520,2025071700525,98,r
521,2025071700525,99,r
522,2025071700525,100,r
523,2025071700525,101,r
524,2025071700525,102,r
525,2025071700525,103,r
526,2025071700525,104,r
527,2025071700525,105,r
528,2025071700525,106,r
529,2025071700525,107,r
530,2025071700525,126,r
531,2025071700525,127,r
532,2025071700525,128,r
533,2025071700525,129,r
534,2025071700525,130,r
535,2025071700525,131,r
536,2025071700525,132,r
537,2025071700525,133,r
538,2025071700525,134,r
539,2025071700525,135,r
540,2025071700525,136,r
541,2025071700525,137,r
542,2025071700525,138,r
543,2025071700525,139,r
544,2025071700525,140,r
545,2025071700525,141,r
546,2025071700525,142,r
547,2025071700525,143,r
548,2025071700525,144,r
549,2025071700525,145,r
550,2025071700525,146,r
551,2025071700525,147,r
552,2025071700525,148,r
553,2025071700525,150,r
554,2025071700525,151,r
555,2025071700525,164,r
556,2025071700525,171,r
557,2025071700525,172,r
558,2025071700525,173,r
559,2025071700525,180,r
560,2025071700525,181,r
561,2025071700525,183,r
562,2025071700525,184,r
563,2025071700526,11,r
564,2025071700526,18,r
565,2025071700526,19,r
566,2025071800301,1,r
567,2025071800301,2,r
568,2025071800301,4,r
569,2025071800301,5,r
570,2025071800301,8,r
571,2025071800301,9,r
572,2025071800301,10,r
573,2025071800301,11,r
574,2025071800301,12,r
575,2025071800301,13,r
576,2025071800301,14,r
577,2025071800301,15,r
578,2025071800301,16,r
579,2025071800301,18,r
580,2025071800301,19,r
581,2025071800301,21,r
582,2025071800302,30,r
583,2025071800302,33,r
584,2025071800302,34,r
585,2025071800302,72,r
586,2025071800302,73,r
587,2025071800302,75,r
588,2025071800302,76,r
589,2025071800302,77,r
590,2025071800302,78,r
591,2025071800302,79,r
592,2025071800302,80,r
593,2025071800302,87,r
594,2025071800302,117,r
595,2025071800302,118,r
596,2025071800302,119,r
597,2025071800302,120,r
598,2025071800302,121,r
599,2025071800302,126,r
600,2025071800417,75,r
601,2025071800417,76,r
602,2025071800417,77,r
603,2025071800417,78,r
604,2025071800417,79,r
605,2025071800417,80,r
606,2025071800417,81,r
607,2025071800417,82,r
608,2025071800417,83,r
609,2025071800417,84,r
610,2025071800417,85,r
611,2025071800417,86,r
612,2025071800417,87,r
613,2025071800417,88,r
614,2025071800417,89,r
615,2025071800417,90,r
616,2025071800417,91,r
617,2025071800417,93,r
618,2025071800417,94,r
619,2025071800417,96,r
620,2025071800417,97,r
621,2025071800417,117,r
622,2025071800417,118,r
623,2025071800417,119,r
624,2025071800417,120,r
625,2025071800417,121,r
626,2025071800417,124,r
627,2025071800417,125,r
628,2025071800417,126,r
629,2025071800417,127,r
630,2025071800417,128,r
631,2025071800417,129,r
632,2025071800417,130,r
633,2025071800417,131,r
