#MJD,RA,Dec,observerX,observerY,observerZ,stringID,mag,band,obscode,origindex
60869.0290593,258.7645155,-16.1932447,53377038.244,-142390657.859,7172.205,259,21.500,r,I11,261
60869.0457294,261.3299964,-15.2133499,53416968.642,-142376080.733,7305.501,261,20.654,i,I11,263
60869.1015275,261.3741666,-15.2543115,53550804.883,-142326853.241,7597.433,272,20.496,r,I11,274
60869.0541153,281.9592171,-26.5475819,53437066.925,-142368726.174,7364.978,262,23.070,i,I11,264
60869.0777406,281.9469046,-26.5237488,53493723.306,-142347924.604,7503.542,265,15.832,z,I11,267
60869.0673501,261.0836697,-13.4505245,53468800.011,-142357088.383,7447.999,263,20.018,i,I11,265
60869.0912244,261.0490429,-13.4372733,53526076.990,-142335996.200,7562.548,266,20.578,z,I11,268
60869.0935313,261.0456904,-13.4359817,53531613.252,-142333951.213,7571.134,267,19.886,r,I11,269
60869.0940509,261.0449343,-13.4356901,53532860.330,-142333490.408,7573.007,268,19.983,r,I11,270
60869.1058251,261.0278066,-13.4290606,53561120.569,-142323032.166,7609.328,273,20.093,i,I11,275
60869.1063415,261.0270543,-13.4287683,53562360.096,-142322572.748,7610.651,274,20.064,i,I11,276
60869.0957755,244.7079871,-10.1330867,53536999.364,-142331960.585,7579.059,270,20.973,r,I11,272
60869.0962591,244.7079361,-10.1337798,53538159.997,-142331531.489,7580.712,271,20.910,r,I11,273
60869.1080152,244.7067022,-10.1506424,53566377.702,-142321083.251,7614.784,277,20.898,i,I11,279
60869.0957755,245.4806348,-10.7947925,53536999.364,-142331960.585,7579.059,269,21.500,r,I11,271
60869.1080152,245.4851428,-10.8092006,53566377.702,-142321083.251,7614.784,276,25.684,i,I11,278
60869.1084932,244.7066524,-10.1513278,53567525.131,-142320657.733,7615.920,278,20.772,i,I11,280
60869.1254885,245.1082011,-26.7133422,53608324.236,-142305493.237,7643.525,281,19.381,i,I11,283
60869.1266029,245.1093268,-26.7147062,53610999.692,-142304496.426,7644.461,282,19.376,i,I11,284
60869.2903571,8.3606753,1.1829640,54003168.744,-142154947.691,6682.465,284,23.022,i,I11,286
60869.3138208,8.4132756,1.2002286,54059041.493,-142133095.966,6399.773,299,21.500,z,I11,301
60869.2912739,5.1518225,1.4577364,54005353.968,-142154095.383,6671.894,285,21.500,i,I11,287
60869.2917204,5.1515983,1.4572937,54006418.211,-142153680.224,6666.731,286,21.500,i,I11,288
60869.3147411,5.1399866,1.4345040,54061230.659,-142132237.330,6388.210,300,23.598,z,I11,302
60869.3151932,5.1397574,1.4340567,54062306.140,-142131815.438,6382.518,301,21.500,z,I11,303
60869.2921712,1.4048929,3.7089393,54007492.432,-142153261.125,6661.509,287,24.027,i,I11,289
60869.3156472,1.4877481,3.7516432,54063385.951,-142131391.804,6376.795,302,21.500,z,I11,304
60869.2926151,359.1674720,1.4081337,54008550.355,-142152848.340,6656.356,288,23.721,i,I11,290
60869.3160902,359.2227640,1.4324087,54064439.560,-142130978.408,6371.202,303,21.500,z,I11,305
60869.2949113,2.1693209,4.3534600,54014022.195,-142150712.591,6629.550,290,21.500,i,I11,292
60869.3184233,2.1980573,4.3708141,54069987.764,-142128800.823,6341.630,305,27.494,z,I11,307
60869.2949113,3.4379704,5.6893463,54014022.195,-142150712.591,6629.550,289,21.500,i,I11,291
60869.3184233,3.4671275,5.7017123,54069987.764,-142128800.823,6341.630,304,24.849,z,I11,306
60869.2953576,3.8212347,7.1354651,54015085.517,-142150297.418,6624.311,291,21.696,i,I11,293
60869.3188716,3.8143952,7.1597843,54071053.941,-142128382.234,6335.924,306,22.193,z,I11,308
60869.2958027,2.5026194,11.0813524,54016145.947,-142149883.330,6619.076,292,21.500,i,I11,294
60869.3193170,2.5225084,11.0950689,54072112.892,-142127966.441,6330.249,307,22.705,z,I11,309
60869.2966976,357.7878094,9.4635537,54018277.984,-142149050.654,6608.524,293,19.383,i,I11,295
60869.3202149,357.8370959,9.4633789,54074247.801,-142127128.051,6318.785,308,19.085,z,I11,310
60869.2989633,353.8771896,4.3108421,54023675.177,-142146941.944,6581.639,294,19.578,i,I11,296
60869.3211218,353.8848356,4.3375565,54076403.815,-142126281.204,6307.178,309,19.839,z,I11,311
60869.3224786,353.8853032,4.3391931,54079629.037,-142125014.073,6289.760,310,19.961,z,I11,312
60869.3008318,348.8511685,3.2377831,54028125.247,-142145202.411,6559.291,295,20.142,i,I11,297
60869.3243686,348.8414642,3.2162090,54084121.077,-142123248.602,6265.391,311,20.890,z,I11,313
60869.3012933,345.9457791,4.1633928,54029224.335,-142144772.657,6553.747,296,20.290,i,I11,298
60869.3248357,345.9346072,4.1984604,54085231.146,-142122812.209,6259.350,313,20.181,z,I11,315
60869.3027534,354.4924873,-1.1674902,54032701.366,-142143412.791,6536.143,297,21.601,i,I11,299
60869.3263024,354.5038061,-1.1459222,54088716.565,-142121441.724,6240.333,314,21.887,z,I11,316
60869.3543165,61.0579073,-48.5823390,54155195.262,-142095222.425,5865.642,316,14.472,r,I11,318
60869.3591062,61.0561655,-48.5746252,54166543.573,-142090732.430,5799.867,317,16.437,z,I11,319
60869.3595415,61.0560063,-48.5739228,54167574.725,-142090324.260,5793.871,318,15.770,z,I11,320
60869.3599758,61.0558477,-48.5732236,54168603.328,-142089917.067,5787.886,319,14.968,z,I11,321
60869.3604264,61.0556831,-48.5724987,54169670.517,-142089494.565,5781.674,320,14.767,z,I11,322
60869.3608617,61.0555235,-48.5717962,54170701.642,-142089086.310,5775.669,321,16.401,z,I11,323
60869.3612981,61.0553639,-48.5710938,54171735.150,-142088677.080,5769.647,322,15.490,z,I11,324
60869.9761662,260.9499612,-26.8920685,55611406.683,-141525741.168,6511.209,323,21.500,r,I11,325
60869.9876076,260.9787312,-26.8866931,55638554.420,-141515389.503,6639.193,326,21.500,i,I11,328
60869.9775341,257.6184124,-25.3589239,55614651.260,-141524504.593,6526.849,324,18.321,r,I11,326
60869.9889807,257.6393118,-25.3509705,55641813.736,-141514145.874,6654.105,327,18.473,i,I11,329
60869.9784621,254.2585712,-21.3634025,55616852.696,-141523665.490,6537.409,325,19.218,r,I11,327
60869.9898983,254.2946192,-21.3863570,55643992.173,-141513314.562,6664.015,328,19.665,i,I11,330
60870.0301797,281.4879806,-25.5602710,55739740.626,-141476677.965,7050.317,330,15.195,r,I11,332
60870.0528497,281.4767082,-25.5377157,55793716.440,-141455921.763,7220.151,335,15.476,g,I11,337
60870.0762940,281.4649840,-25.5143627,55849586.374,-141434341.001,7354.847,342,14.884,r,I11,344
60870.0439141,258.0946338,-14.6097231,55772434.873,-141464115.701,7157.674,334,21.500,y,I11,336
60870.1222150,258.0415041,-14.4881622,55959106.456,-141391705.358,7487.535,349,21.740,r,I11,351
60870.0551609,300.4888811,-29.6001075,55799222.190,-141453799.632,7235.334,336,22.934,g,I11,338
60870.0786137,300.5260528,-29.5664510,55855116.431,-141432199.096,7365.790,343,22.625,r,I11,345
60870.0583480,296.1619979,-16.3613553,55806815.532,-141450871.278,7255.601,337,21.026,g,I11,339
60870.0587911,296.1611164,-16.3616281,55807871.130,-141450464.042,7258.356,338,20.997,g,I11,340
60870.0817766,296.1152845,-16.3757546,55862657.385,-141429276.558,7380.003,345,21.682,r,I11,347
60870.1044188,296.0699754,-16.3896106,55916655.181,-141408287.276,7457.389,347,22.711,y,I11,349
60870.1130557,296.0526546,-16.3948793,55937257.097,-141400249.151,7475.433,348,23.748,y,I11,350
60870.0666658,259.9483349,-12.8935038,55826636.167,-141443218.622,7304.777,339,20.632,g,I11,341
60870.1464651,259.8382104,-12.8500048,56016953.176,-141368987.524,7484.355,354,20.039,i,I11,356
60870.0691984,245.9086431,-11.9342838,55832672.437,-141440885.430,7318.667,341,21.500,g,I11,343
60870.0931905,245.9177630,-11.9621091,55889874.915,-141418710.833,7424.403,346,21.500,r,I11,348
60870.1256223,245.9301648,-11.9996291,55967234.633,-141388521.897,7490.179,350,24.755,r,I11,352
60870.0691984,244.6719410,-11.5183023,55832672.437,-141440885.430,7318.667,340,21.730,g,I11,342
60870.1275707,244.6669384,-11.6003516,55971882.660,-141386700.208,7491.238,351,21.388,r,I11,353
