#r(AU) rdot(AU/day) norm mean_accel
1.050000 0.004400 49563.000000 -0.200000
1.050000 0.004400 49563.000000 0.200000
1.050000 0.004400 49563.000000 -0.400000
1.050000 0.004400 49563.000000 0.400000
1.050000 0.004400 49563.000000 -0.600000
1.050000 -0.004600 10800.000000 0.000000
1.050000 -0.004600 10800.000000 -0.200000
1.050000 -0.004600 10800.000000 0.200000
1.050000 -0.004600 10800.000000 -0.400000
1.050000 -0.004600 10800.000000 0.400000
1.050000 0.004600 49563.000000 0.000000
1.050000 0.004600 49563.000000 -0.200000
1.050000 0.004600 49563.000000 0.200000
1.050000 0.004600 49563.000000 -0.400000
1.050000 0.004600 49563.000000 0.400000
1.050000 0.004600 49563.000000 -0.600000
1.050000 -0.004800 10800.000000 0.000000
1.050000 -0.004800 10800.000000 -0.200000
1.050000 -0.004800 10800.000000 0.200000
1.050000 -0.004800 10800.000000 -0.400000
1.050000 -0.004800 10800.000000 0.400000
1.050000 0.004800 49563.000000 0.000000
1.050000 0.004800 49563.000000 -0.200000
1.050000 0.004800 49563.000000 0.200000
1.050000 0.004800 49563.000000 -0.400000
1.050000 0.004800 49563.000000 0.400000
1.050000 0.004800 49563.000000 -0.600000
1.050000 -0.005000 10800.000000 0.000000
1.050000 -0.005000 10800.000000 -0.200000
1.050000 -0.005000 10800.000000 0.200000
1.050000 -0.005000 10800.000000 -0.400000
1.050000 -0.005000 10800.000000 0.400000
1.050000 0.005000 49563.000000 0.000000
1.050000 0.005000 49563.000000 -0.200000
1.050000 0.005000 49563.000000 0.200000
1.050000 0.005000 49563.000000 -0.400000
1.050000 0.005000 49563.000000 0.400000
1.050000 0.005000 49563.000000 -0.600000
1.050000 -0.005200 10800.000000 0.000000
1.050000 -0.005200 10800.000000 -0.200000
1.050000 -0.005200 10800.000000 0.200000
1.050000 -0.005200 10800.000000 -0.400000
1.050000 -0.005200 10800.000000 0.400000
1.050000 0.005200 49563.000000 0.000000
1.050000 0.005200 49563.000000 -0.200000
1.050000 0.005200 49563.000000 0.200000
1.050000 0.005200 49563.000000 -0.400000
1.050000 0.005200 49563.000000 0.400000
1.050000 0.005200 49563.000000 -0.600000
1.050000 -0.005400 10800.000000 0.000000
1.050000 -0.005400 10800.000000 -0.200000
1.050000 -0.005400 10800.000000 0.200000
1.050000 -0.005400 10800.000000 -0.400000
1.050000 -0.005400 10800.000000 0.400000
1.050000 0.005400 49563.000000 0.000000
1.050000 0.005400 49563.000000 -0.200000
1.050000 0.005400 49563.000000 0.200000
1.050000 0.005400 49563.000000 -0.400000
1.050000 0.005400 49563.000000 0.400000
1.050000 0.005400 49563.000000 -0.600000
1.050000 -0.005600 10800.000000 0.000000
1.050000 -0.005600 10800.000000 -0.200000
1.050000 -0.005600 10800.000000 0.200000
1.050000 -0.005600 10800.000000 -0.400000
1.050000 -0.005600 10800.000000 0.400000
1.050000 0.005600 49563.000000 0.000000
1.050000 0.005600 49563.000000 -0.200000
1.050000 0.005600 49563.000000 0.200000
1.050000 0.005600 49563.000000 -0.400000
1.050000 0.005600 49563.000000 0.400000
1.050000 0.005600 49563.000000 -0.600000
1.050000 -0.005800 10800.000000 0.000000
1.050000 -0.005800 10800.000000 -0.200000
1.050000 -0.005800 10800.000000 0.200000
1.050000 -0.005800 10800.000000 -0.400000
1.050000 -0.005800 10800.000000 0.400000
1.050000 0.005800 49563.000000 0.000000
1.050000 0.005800 49563.000000 -0.200000
1.050000 0.005800 49563.000000 0.200000
1.050000 0.005800 49563.000000 -0.400000
1.050000 0.005800 49563.000000 0.400000
1.050000 0.005800 49563.000000 -0.600000
1.050000 -0.006000 10800.000000 0.000000
1.050000 -0.006000 10800.000000 -0.200000
1.050000 -0.006000 10800.000000 0.200000
1.050000 -0.006000 10800.000000 -0.400000
1.050000 -0.006000 10800.000000 0.400000
1.050000 -0.006000 11085 0.000000
