L_true,dpa,L_meas
6.0,67.821014,15.247841835021973
6.0,44.54843,14.19661808013916
6.0,3.6090393,12.017718315124512
6.0,12.744919,10.706791877746582
6.0,13.38475,10.567951202392578
6.0,41.573597,13.799579620361328
6.0,7.044403,11.070197105407715
6.0,3.1436996,10.692388534545898
8.0,34.67531,13.659253120422363
8.0,19.486412,14.363335609436035
8.0,1.1620483,12.241979598999023
8.0,50.66283,18.109827041625977
8.0,13.365761,14.970333099365234
8.0,22.59082,19.81102752685547
8.0,20.766602,16.020479202270508
8.0,4.2642593,11.485245704650879
8.0,0.89601135,12.103230476379395
8.0,7.9917603,14.620893478393555
8.0,70.35503,18.88878059387207
